institution_name,conference,subdivision,has_football,sport,conference_fin,subdivision_fin,has_football_fin,men_participants,women_participants,revenue_men,revenue_women,expense_men,expense_women,wins,losses,ties,cohort_year,gsr,fgr,nil100_player_count,nil100_sum_valuation_estimate,aid_share_of_revenue,revenue_total,expense_total
Clemson University,ACC,P5,1,basketball,ACC,P5,1.0,17.0,17.0,12592738.0,6607428.0,12592738.0,6607428.0,24.0,11.0,0.0,2018.0,100.0,50.0,0.0,0.0,0.0789295020502585,19200166.0,19200166.0
Clemson University,ACC,P5,1,volleyball,ACC,P5,1.0,,22.0,,2980269.0,,2980269.0,18.0,14.0,0.0,2018.0,100.0,81.0,0.0,0.0,0.0789295020502585,2980269.0,2980269.0
Duke University,ACC,P5,1,football,ACC,P5,1.0,121.0,,67356450.0,,47363558.0,,9.0,5.0,0.0,2018.0,94.0,87.0,0.0,0.0,0.1657378904899691,67356450.0,47363558.0
Duke University,ACC,P5,1,basketball,ACC,P5,1.0,15.0,17.0,52729506.0,6243424.0,31868603.0,12300220.0,35.0,3.0,0.0,2018.0,60.0,25.0,1.0,4000000.0,0.1657378904899691,58972930.0,44168823.0
Duke University,ACC,P5,1,volleyball,ACC,P5,1.0,,19.0,,2393193.0,,2362485.0,5.0,26.0,0.0,2018.0,100.0,82.0,0.0,0.0,0.1657378904899691,2393193.0,2362485.0
Florida State University,ACC,P5,1,football,ACC,P5,1.0,124.0,,83469718.0,,83267924.0,,5.0,7.0,0.0,2018.0,84.0,54.0,0.0,0.0,0.0406359636701186,83469718.0,83267924.0
Florida State University,ACC,P5,1,basketball,ACC,P5,1.0,16.0,12.0,14557585.0,5736021.0,14557585.0,5736021.0,18.0,15.0,0.0,2018.0,100.0,50.0,0.0,0.0,0.0406359636701186,20293606.0,20293606.0
Florida State University,ACC,P5,1,volleyball,ACC,P5,1.0,,16.0,,1546789.0,,1546789.0,16.0,13.0,0.0,2018.0,100.0,63.0,0.0,0.0,0.0406359636701186,1546789.0,1546789.0
Georgia Institute of Technology-Main Campus,ACC,P5,1,football,ACC,P5,1.0,120.0,,70541041.0,,42709508.0,,9.0,4.0,0.0,2018.0,93.0,70.0,0.0,0.0,0.0950721029597139,70541041.0,42709508.0
Georgia Institute of Technology-Main Campus,ACC,P5,1,basketball,ACC,P5,1.0,15.0,28.0,14536539.0,1219994.0,12013953.0,6654388.0,11.0,20.0,0.0,2018.0,80.0,42.0,0.0,0.0,0.0950721029597139,15756533.0,18668341.0
Georgia Institute of Technology-Main Campus,ACC,P5,1,volleyball,ACC,P5,1.0,,21.0,,519389.0,,2462261.0,16.0,14.0,0.0,2018.0,100.0,82.0,0.0,0.0,0.0950721029597139,519389.0,2462261.0
University of Louisville,ACC,P5,1,football,ACC,P5,1.0,120.0,,33090886.0,,30745125.0,,9.0,4.0,0.0,2018.0,95.0,66.0,2.0,3000000.0,0.1019640712177832,33090886.0,30745125.0
University of Louisville,ACC,P5,1,basketball,ACC,P5,1.0,17.0,25.0,22792373.0,8188113.0,14854067.0,6700777.0,24.0,11.0,0.0,2018.0,100.0,40.0,2.0,9000000.0,0.1019640712177832,30980486.0,21554844.0
University of Louisville,ACC,P5,1,volleyball,ACC,P5,1.0,,17.0,,10845580.0,,3059112.0,26.0,7.0,0.0,2018.0,100.0,75.0,0.0,0.0,0.1019640712177832,10845580.0,3059112.0
University of Miami,ACC,P5,1,football,ACC,P5,1.0,127.0,,99864288.0,,88117956.0,,13.0,3.0,0.0,2018.0,91.0,55.0,6.0,15500000.0,0.0893053951784927,99864288.0,88117956.0
University of Miami,ACC,P5,1,basketball,ACC,P5,1.0,14.0,16.0,17865162.0,7926455.0,14366552.0,7926455.0,26.0,9.0,0.0,2018.0,92.0,67.0,2.0,7000000.0,0.0893053951784927,25791617.0,22293007.0
University of Miami,ACC,P5,1,volleyball,ACC,P5,1.0,,17.0,,2721374.0,,2721374.0,27.0,6.0,0.0,2018.0,100.0,69.0,0.0,0.0,0.0893053951784927,2721374.0,2721374.0
University of North Carolina at Chapel Hill,ACC,P5,1,football,ACC,P5,1.0,123.0,,63337093.0,,49145749.0,,4.0,8.0,0.0,2018.0,89.0,76.0,0.0,0.0,0.0948341806627057,63337093.0,49145749.0
University of North Carolina at Chapel Hill,ACC,P5,1,basketball,ACC,P5,1.0,16.0,32.0,39742088.0,2526799.0,16738604.0,6779610.0,24.0,9.0,0.0,2018.0,70.0,54.0,3.0,8500000.0,0.0948341806627057,42268887.0,23518214.0
University of North Carolina at Chapel Hill,ACC,P5,1,volleyball,ACC,P5,1.0,,19.0,,881622.0,,1702233.0,22.0,9.0,0.0,2018.0,100.0,44.0,0.0,0.0,0.0948341806627057,881622.0,1702233.0
