institution_name,conference,subdivision,has_football,sport,men_participants,women_participants,revenue_men,revenue_women,expense_men,expense_women
University of Wisconsin-Madison,Big Ten,P5,1,volleyball,,19.0,,4055436.0,,5189615.0
The University of Alabama,SEC,P5,1,volleyball,,22.0,,2682809.0,,2682809.0
University of Arkansas,SEC,P5,1,volleyball,,18.0,,149803.0,,2196530.0
Auburn University,SEC,P5,1,volleyball,,18.0,,351116.0,,2619459.0
University of Florida,SEC,P5,1,volleyball,,20.0,,1478468.0,,4862559.0
University of Georgia,SEC,P5,1,volleyball,,18.0,,108137.0,,2127964.0
University of Kentucky,SEC,P5,1,volleyball,,16.0,,3429647.0,,3429647.0
Louisiana State University and Agricultural & Mechanical College,SEC,P5,1,volleyball,,22.0,,156245.0,,2377341.0
University of Missouri-Columbia,SEC,P5,1,volleyball,,22.0,,3048994.0,,3048994.0
Mississippi State University,SEC,P5,1,volleyball,,19.0,,2122385.0,,2122385.0
University of Mississippi,SEC,P5,1,volleyball,,17.0,,2749126.0,,2749126.0
University of Oklahoma-Norman Campus,SEC,P5,1,volleyball,,16.0,,243922.0,,2672376.0
University of South Carolina-Columbia,SEC,P5,1,volleyball,,20.0,,2725093.0,,2725093.0
The University of Tennessee-Knoxville,SEC,P5,1,volleyball,,21.0,,435953.0,,3357470.0
The University of Texas at Austin,SEC,P5,1,volleyball,,24.0,,2086242.0,,4912104.0
Texas A&M University-College Station,SEC,P5,1,volleyball,,16.0,,1196880.0,,3922450.0
University of Arizona,Big 12,P5,1,volleyball,,17.0,,1883610.0,,1883610.0
Arizona State University Campus Immersion,Big 12,P5,1,volleyball,,24.0,,2955239.0,,2955239.0
Baylor University,Big 12,P5,1,volleyball,,22.0,,3123397.0,,3123397.0
Brigham Young University,Big 12,P5,1,volleyball,18.0,19.0,1796663.0,2062226.0,2184689.0,2759500.0
University of Central Florida,Big 12,P5,1,volleyball,,14.0,,1847029.0,,1722014.0
University of Cincinnati-Main Campus,Big 12,P5,1,volleyball,,20.0,,1946468.0,,1946468.0
University of Colorado Boulder,Big 12,P5,1,volleyball,,19.0,,728185.0,,2225370.0
University of Houston,Big 12,P5,1,volleyball,,19.0,,1780695.0,,1780695.0
Iowa State University,Big 12,P5,1,volleyball,,20.0,,291641.0,,2250994.0
University of Kansas,Big 12,P5,1,volleyball,,19.0,,2581006.0,,2581006.0
Kansas State University,Big 12,P5,1,volleyball,,19.0,,1831029.0,,1831029.0
Texas Christian University,Big 12,P5,1,volleyball,,20.0,,3729667.0,,3729667.0
Texas Tech University,Big 12,P5,1,volleyball,,21.0,,297865.0,,1915763.0
University of Utah,Big 12,P5,1,volleyball,,17.0,,739043.0,,2573263.0
